# Frozen export for the dashboard. Exported 2026-08-05 from the backtest notebook (private), frozen 2026-07-29.
# Columns: QLD_px = rebased total-return index, QLD_ret = daily return, Signal_alloc, Effective_alloc,
#   New_ret = E2 daily strategy return.
# Derived aggregates only (rebased index / rule outputs); no raw research inputs. NEVER regenerated by automation.
# Engine-vs-backtest verification: tests/test_signal_reference.py (exact match on every comparable day).
Period,QLD_px,QLD_ret,Signal_alloc,Effective_alloc,New_ret
2007-06-20,1.3612,-0.01789321789321785,,,
2007-06-21,1.3868,0.01880693505730235,,,
2007-06-22,1.3596,-0.01961349870204798,,,
2007-06-25,1.353,-0.004854368932038833,,,
2007-06-26,1.3377,-0.01130820399113086,,,
2007-06-27,1.3682,0.02280032892277806,,,
2007-06-28,1.3717,0.002558105540125588,,,
2007-06-29,1.3802,0.006196690238390534,,,
2007-07-02,1.3978,0.01275177510505721,,,
2007-07-03,1.4139,0.01151809987122632,,,
2007-07-05,1.43,0.01138694391399664,,,
2007-07-06,1.4473,0.01209790209790218,,,
2007-07-09,1.4486,0.0008982242796933271,,,
2007-07-10,1.4249,-0.01636062405080774,,,
2007-07-11,1.449,0.01691346761176216,,,
2007-07-12,1.4864,0.02581090407177355,,,
2007-07-13,1.5084,0.01480086114101176,,,
2007-07-16,1.5068,-0.001060726597719497,,,
2007-07-17,1.5218,0.009954871250331898,,,
2007-07-18,1.5234,0.001051386515968034,,,
2007-07-19,1.5301,0.004398056977812814,1.0,,
2007-07-20,1.5172,-0.008430821514933573,1.0,,
2007-07-23,1.5147,-0.001647772211969545,1.0,1.0,-0.0016477722119695448
2007-07-24,1.4735,-0.02720010563147812,1.0,1.0,-0.027200105631478122
2007-07-25,1.4756,0.001425178147268502,1.0,1.0,0.0014251781472685021
2007-07-26,1.4429,-0.02216047709406344,1.0,1.0,-0.022160477094063435
2007-07-27,1.3855,-0.03978099660406131,1.0,1.0,-0.039780996604061314
2007-07-30,1.4245,0.02814868278599802,1.0,1.0,0.028148682785998025
2007-07-31,1.3638,-0.04261144261144278,1.0,1.0,-0.042611442611442785
2007-08-01,1.3804,0.01217187270860842,1.0,1.0,0.012171872708608422
2007-08-02,1.4077,0.01977687626774838,1.0,1.0,0.019776876267748378
2007-08-03,1.3518,-0.03971016551822126,1.0,1.0,-0.03971016551822126
2007-08-06,1.3784,0.01967746708092921,1.0,1.0,0.019677467080929212
2007-08-07,1.3953,0.01226059199071372,1.0,1.0,0.01226059199071372
2007-08-08,1.4362,0.02931269261090796,1.0,1.0,0.029312692610907964
2007-08-09,1.3646,-0.04985378081047198,0.5,1.0,-0.04985378081047198
2007-08-10,1.3389,-0.01883335776051598,1.0,1.0,-0.01883335776051598
2007-08-13,1.3563,0.01299574277391891,0.5,0.5,0.006497871386959453
2007-08-14,1.3131,-0.03185136031851366,0.5,1.0,-0.031851360318513655
2007-08-15,1.2645,-0.0370116518163125,0.0,0.5,-0.018505825908156248
2007-08-16,1.2354,-0.02301304863582432,0.0,0.5,-0.011506524317912159
2007-08-17,1.2794,0.03561599481949163,0.5,0.0,0.0
2007-08-20,1.2877,0.006487415976238919,0.5,0.0,0.0
2007-08-21,1.3239,0.02811213792032308,0.5,0.5,0.014056068960161539
2007-08-22,1.3548,0.02334013142986624,0.5,0.5,0.01167006571493312
2007-08-23,1.3493,-0.004059639799232406,0.5,0.5,-0.002029819899616203
2007-08-24,1.3892,0.02957088860890833,0.5,0.5,0.014785444304454165
2007-08-27,1.362,-0.01957961416642662,0.5,0.5,-0.009789807083213309
2007-08-28,1.3036,-0.04287812041116001,0.5,0.5,-0.021439060205580007
2007-08-29,1.3753,0.05500153421294862,0.5,0.5,0.02750076710647431
2007-08-30,1.3965,0.01541481858503602,0.5,0.5,0.007707409292518008
2007-08-31,1.4209,0.01747225205871827,0.5,0.5,0.008736126029359137
2007-09-04,1.4705,0.03490745302273202,0.5,0.5,0.017453726511366008
2007-09-05,1.4402,-0.02060523631417888,0.5,0.5,-0.010302618157089438
2007-09-06,1.4364,-0.00263852242744067,0.5,0.5,-0.0013192612137203352
2007-09-07,1.3889,-0.03306878306878303,0.5,0.5,-0.016534391534391513
2007-09-10,1.3868,-0.00151198790409679,0.5,0.5,-0.0007559939520483949
2007-09-11,1.4219,0.02531006633977495,0.5,0.5,0.012655033169887475
2007-09-12,1.4281,0.004360362894718417,1.0,0.5,0.0021801814473592085
2007-09-13,1.4344,0.00441145578040758,1.0,0.5,0.0022057278902037902
2007-09-14,1.4342,-0.0001394311210262122,1.0,1.0,-0.00013943112102621225
2007-09-17,1.4101,-0.01680379305536184,1.0,1.0,-0.016803793055361838
2007-09-18,1.4837,0.05219487979575921,1.0,1.0,0.05219487979575921
2007-09-19,1.4925,0.005931118150569459,1.0,1.0,0.005931118150569459
2007-09-20,1.483,-0.006365159128978171,1.0,1.0,-0.006365159128978171
2007-09-21,1.501,0.01213755900202274,1.0,1.0,0.012137559002022735
2007-09-24,1.5172,0.01079280479680222,1.0,1.0,0.010792804796802224
2007-09-25,1.5436,0.01740047455839711,1.0,1.0,0.017400474558397105
2007-09-26,1.5574,0.00894013993262499,1.0,1.0,0.00894013993262499
2007-09-27,1.5779,0.01316296391421612,1.0,1.0,0.01316296391421612
2007-09-28,1.5684,-0.006020660371379716,1.0,1.0,-0.006020660371379716
2007-10-01,1.5953,0.01715123692935472,1.0,1.0,0.01715123692935472
2007-10-02,1.5989,0.002256628847238762,1.0,1.0,0.002256628847238762
2007-10-03,1.5742,-0.01544812058290068,1.0,1.0,-0.015448120582900682
2007-10-04,1.5815,0.004637276076737251,1.0,1.0,0.004637276076737251
2007-10-05,1.6546,0.04622194119506817,1.0,1.0,0.04622194119506817
2007-10-08,1.6671,0.007554695999032912,1.0,1.0,0.007554695999032912
2007-10-09,1.6859,0.01127706796232975,1.0,1.0,0.011277067962329745
2007-10-10,1.6954,0.005634972418292916,1.0,1.0,0.005634972418292916
2007-10-11,1.646,-0.02913766662734463,1.0,1.0,-0.029137666627344627
2007-10-12,1.6936,0.02891859052247869,1.0,1.0,0.028918590522478693
2007-10-15,1.6653,-0.01670996693434101,1.0,1.0,-0.016709966934341014
2007-10-16,1.6577,-0.004563742268660298,1.0,1.0,-0.004563742268660298
2007-10-17,1.6931,0.02135488930445795,1.0,1.0,0.021354889304457947
2007-10-18,1.7045,0.00673321126926929,1.0,1.0,0.00673321126926929
2007-10-19,1.623,-0.04781460838955698,1.0,1.0,-0.04781460838955698
2007-10-22,1.6572,0.0210720887245841,1.0,1.0,0.021072088724584104
2007-10-23,1.7147,0.03469707941105482,1.0,1.0,0.03469707941105482
2007-10-24,1.7041,-0.006181839388814336,1.0,1.0,-0.006181839388814336
2007-10-25,1.6848,-0.01132562643037371,1.0,1.0,-0.011325626430373714
2007-10-26,1.706,0.01258309591642925,1.0,1.0,0.012583095916429254
2007-10-29,1.7227,0.009788980070339903,1.0,1.0,0.009788980070339903
2007-10-30,1.7229,0.0001160968247519989,1.0,1.0,0.0001160968247519989
2007-10-31,1.7769,0.03134250391781279,1.0,1.0,0.03134250391781279
2007-11-01,1.7237,-0.02993978276774156,1.0,1.0,-0.029939782767741563
2007-11-02,1.7419,0.01055868190520393,1.0,1.0,0.010558681905203926
2007-11-05,1.7208,-0.01211320971353114,1.0,1.0,-0.012113209713531137
